Lag,F_Statistic,P_Value,Significant_0.05
1,8.122223231524602,0.004446010060837503,True
2,4.464596336382227,0.011698155088411186,True
3,4.1899973035034055,0.00582386233186479,True
4,3.292921633783998,0.010743772656686579,True
5,2.9452170228486523,0.011941274411593266,True
6,2.532796793801158,0.019292408092150673,True
7,2.2872493762654433,0.02568706816903547,True
8,2.3234688892436783,0.01782973457101293,True
9,2.1886999744543933,0.020582617760178737,True
10,2.206113489827879,0.015449750119059167,True
